2023-03-07 01:59:28,343 INFO    MainThread:8628 [wandb_setup.py:_flush():68] Configure stats pid to 8628
2023-03-07 01:59:28,344 INFO    MainThread:8628 [wandb_setup.py:_flush():68] Loading settings from C:\Users\bajpa\.config\wandb\settings
2023-03-07 01:59:28,344 INFO    MainThread:8628 [wandb_setup.py:_flush():68] Loading settings from C:\Users\bajpa\Desktop\DocumentsFinal\Project\Deep Learning Feed Forward\wandb\settings
2023-03-07 01:59:28,344 INFO    MainThread:8628 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'cs22m020', 'project': 'DeepLearning', 'sweep_id': 'uqzidt4k', 'root_dir': 'C:\\Users\\bajpa\\Desktop\\DocumentsFinal\\Project\\Deep Learning Feed Forward', 'run_id': 'upjnose1', 'sweep_param_path': 'C:\\Users\\bajpa\\Desktop\\DocumentsFinal\\Project\\Deep Learning Feed Forward\\wandb\\sweep-uqzidt4k\\config-upjnose1.yaml'}
2023-03-07 01:59:28,344 INFO    MainThread:8628 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'C:\\Users\\bajpa\\Desktop\\DocumentsFinal\\Project\\Deep Learning Feed Forward\\train.py'}
2023-03-07 01:59:28,344 INFO    MainThread:8628 [wandb_init.py:_log_setup():492] Logging user logs to C:\Users\bajpa\Desktop\DocumentsFinal\Project\Deep Learning Feed Forward\wandb\run-20230307_015928-upjnose1\logs\debug.log
2023-03-07 01:59:28,344 INFO    MainThread:8628 [wandb_init.py:_log_setup():493] Logging internal logs to C:\Users\bajpa\Desktop\DocumentsFinal\Project\Deep Learning Feed Forward\wandb\run-20230307_015928-upjnose1\logs\debug-internal.log
2023-03-07 01:59:28,344 INFO    MainThread:8628 [wandb_init.py:init():532] calling init triggers
2023-03-07 01:59:28,344 INFO    MainThread:8628 [wandb_init.py:init():538] wandb.init called with sweep_config: {'activation': 'tanh', 'batchSize': 16, 'initialization': 'random', 'input_neuron': 784, 'iter': 10, 'n': 0.001, 'no_of_hidden_layers': 4, 'no_of_neuron': 128, 'optimizer': 'rmsProp'}
config: {'iter': 10, 'batchSize': 32, 'optimizer': 'nadam', 'n': 0.01, 'activation': 'sigmoid', 'no_of_hidden_layers': 3, 'no_of_neuron': 128, 'initialization': 'xavier', 'input_neuron': 784}
2023-03-07 01:59:28,344 INFO    MainThread:8628 [wandb_init.py:init():588] starting backend
2023-03-07 01:59:28,344 INFO    MainThread:8628 [wandb_init.py:init():592] setting up manager
2023-03-07 01:59:28,344 INFO    MainThread:8628 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-07 01:59:28,360 INFO    MainThread:8628 [wandb_init.py:init():599] backend started and connected
2023-03-07 01:59:28,360 INFO    MainThread:8628 [wandb_run.py:_config_callback():1250] config_cb None None {'activation': 'tanh', 'batchSize': 16, 'initialization': 'random', 'input_neuron': 784, 'iter': 10, 'n': 0.001, 'no_of_hidden_layers': 4, 'no_of_neuron': 128, 'optimizer': 'rmsProp'}
2023-03-07 01:59:28,376 INFO    MainThread:8628 [wandb_init.py:init():687] updated telemetry
2023-03-07 01:59:28,423 INFO    MainThread:8628 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-07 01:59:29,063 INFO    MainThread:8628 [wandb_run.py:_on_init():2134] communicating current version
2023-03-07 01:59:29,125 INFO    MainThread:8628 [wandb_run.py:_on_init():2143] got version response 
2023-03-07 01:59:29,125 INFO    MainThread:8628 [wandb_init.py:init():775] starting run threads in backend
2023-03-07 01:59:30,237 INFO    MainThread:8628 [wandb_run.py:_console_start():2114] atexit reg
2023-03-07 01:59:30,237 INFO    MainThread:8628 [wandb_run.py:_redirect():1969] redirect: 3
2023-03-07 01:59:30,237 INFO    MainThread:8628 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-07 01:59:30,237 INFO    MainThread:8628 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-07 01:59:30,237 INFO    MainThread:8628 [wandb_init.py:init():817] run started, returning control to user process
2023-03-07 02:03:11,806 WARNING MsgRouterThr:8628 [router.py:message_loop():77] message_loop has been closed
